PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia
0.0,5.444784706251039,0.6218761929622547,0.6282232573128071,0.0,1.8508519963517152,0.17875,0.0,0.82125,1.0,0.015205025672912598,0.0,0.016091136261820793,0.0019379297737032175,0.0,0.0043477932922542095,0.29448742804627326,0.0
1.0,11.442625086620982,0.27068745185168214,1.5449247255871692,0.0,3.814811763707098,0.18375,0.0,0.81625,1.0,0.04101575165987015,0.0,0.04520390182733536,0.003927741199731827,0.0,0.003930028527975082,0.5760933139411082,0.0
2.0,7.707701210170898,0.4937217493220982,1.4573640931349456,0.0,2.4177438478497177,0.4775,0.0,0.5225,1.0,0.01003500446677208,0.0,0.04997612163424492,0.0006428928463719785,0.0,0.004456494469195604,0.46580413121000813,0.0
3.0,14.668432610353427,0.527154105792067,0.6982505672852506,0.0,3.9529347884677972,0.33,0.0,0.67,1.0,0.018636705353856087,0.0,0.010352669283747673,0.003232404123991728,0.0,0.003579247510060668,0.7513091816372313,0.0
4.0,12.2829613321164,0.46031457207406085,1.9044182953514157,0.0,1.5821220984496813,0.3175,0.0,0.6825,1.0,0.030248155817389488,0.0,0.03054056689143181,0.00373759213835001,0.0,0.004743230529129505,0.584377979480074,0.0
5.0,10.872494678613236,0.5049782533989684,1.1486479818300441,0.0,3.268571424582633,0.52125,0.0,0.47875,1.0,0.047142144292593,0.0,0.044768720865249634,0.003002312732860446,0.0,0.0016578822396695614,0.8744457142018034,0.0
6.0,10.194358856924826,0.42687625174545396,0.40980024379995705,0.0,2.641840670715009,0.32125,0.0,0.67875,1.0,0.029781222343444824,0.0,0.042474810034036636,0.004021690227091312,0.0,0.0006637079641222954,0.013953276672213438,0.0
7.0,6.7155042147536355,0.411823035381815,1.9202151045305884,0.0,1.1364175012576037,0.65125,0.0,0.34875,1.0,0.018872983753681183,0.0,0.029965246096253395,0.004153331741690636,0.0,0.0021561444737017155,0.6933659250580577,0.0
8.0,3.67801096337858,0.5295722461974897,0.6323917150151455,0.0,3.663099270480617,0.16,0.0,0.84,1.0,0.023885484784841537,0.0,0.047291286289691925,0.0018940492300316691,0.0,0.0034488060045987368,0.72847995030716,0.0
9.0,12.127528942531777,0.5836486818258678,1.8667816069534344,0.0,2.908517992608341,0.71875,0.0,0.28125,1.0,0.005680710077285767,0.0,0.02718452364206314,0.0023007874842733145,0.0,0.001808301080018282,0.24493072341680303,0.0
