PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia
1,10.22848722,0.283033429,1.940674374,0,11.89482093,0.79375,0,0.20625,0,0.011426053,0,0.003987249,0.003865821,0,0.000970421,0.086552536,0
2,5.672937351,0.689726311,1.004708721,0,4.90566634,0.75125,0,0.24875,0,0.018305289,0,0.002910364,0.007535129,0,0.000653132,0.31765364,0
3,4.692676395,0.274339589,1.810150094,0,3.219512932,0.7675,0,0.2325,0,0.010709339,0,0.017131142,0.000845268,0,0.003845418,0.576126429,0
4,5.685304399,0.677914694,1.043278624,0,4.209914136,0.7325,0,0.2675,0,0.020982249,0,0.003847106,0.00732004,0,0.00160265,0.686622188,0
5,14.46486464,0.640991447,3.815558398,3.834925565,3.096935198,0.59375,0.197500005,0.208749995,0,0.006727591,0.005470184,0.015574822,0.000597625,0.000713772,0.00211854,0.509355965,0.094594503
6,3.990036817,0.401202049,7.332374005,176.8661624,2.640693488,0.57249999,0.076250002,0.351249993,0,0.005692337,0.003989499,0.012926866,0.000799925,0.000700328,0.00123718,0.983580027,0.032237257
7,5.0203063,0.277736531,3.609769759,187.3740024,1.510958137,0.5625,0.068750001,0.368750006,0,0.007768971,0.006972246,0.012727716,0.004568059,0.000511689,0.001216615,0.78980917,0.088031976
8,8.22453629,0.316145204,10.25054922,131.6413656,1.10443753,0.138750002,0.032499999,0.828750014,0,0.002935742,0.008990749,0.002954619,0.001340555,0.000533805,0.00049625,0.403159331,0.030865966
9,8.788972576,0.687354684,8.815284871,101.7038652,3.087744863,0.52125001,0.09375,0.38499999,0,0.004148643,0.008988499,0.027804101,0.00240205,0.001313082,0.004122753,0.43236981,0.09725418
10,11.11351602,0.617634001,9.341248176,55.36009878,2.107553812,0.481249988,0.150000006,0.368750006,0,0.005361545,0.00839555,0.013170271,0.00194048,7.11E-05,0.004393624,0.172010456,0
11,12.82706025,0.551240849,7.967706571,39.96160417,1.622917778,0.301250011,0.211250007,0.487500012,0,0.00460195,0.007952244,0.009408551,0.000238367,0.00023415,0.002414089,0.012273487,0
12,2.336304349,0.376044823,9.50423119,131.4184594,3.405340097,0.524999976,0.091250002,0.383749992,0,0.003713714,0.004035629,0.017905613,0.000947581,0.000186448,0.002108551,0.322208436,0
13,2.066277324,0.479974376,3.944136269,71.91057367,1.361891301,0.38499999,0.071249999,0.543749988,0,0.003609576,0.007892611,0.013022752,0.000486011,0.000703364,0.001541543,0.863368964,0
14,15.03025235,0.267071742,11.21340561,75.02470893,3.522821472,0.414999992,0.161249995,0.423750013,0,0.002145518,0.008808476,0.015073259,0.001274284,0.001904586,0.00082059,0.427621847,0.089933302
15,18.14345544,0.576266491,9.11585965,55.94737846,3.321800497,0.284999996,0.068750001,0.64625001,0,0.002580448,0.008681335,0.003706963,0.000613902,0.000784457,0.000352294,0.826343633,0.057014645
16,4.203649674,0.411084851,10.86984599,95.8543595,3.213248934,0.460000008,0.041250002,0.498750001,0,0.008853232,0.007168021,0.003965121,0.005350519,0.001116203,0.000314102,0.195967738,0.033229121
17,15.39734048,0.460979871,2.882612392,111.6268826,2.491727815,0.408749998,0.32249999,0.268750012,0,0.006378422,0.002766471,0.005845981,0.002126503,0.000117931,0.000934579,0.524702536,0
18,12.19152606,0.251556704,6.903559817,12.40606087,3.550615804,0.361250013,0.137500003,0.501250029,0,0.007830229,0.003027503,0.005270659,0.005164496,0.000222875,0.002147919,0.123404407,0.065013921
19,16.62031235,0.332026731,6.051163764,6.661071045,2.113371792,0.411249995,0.188749999,0.400000006,0,0.009845606,0.007872359,0.005145268,0.004630841,0.000696426,0.001223665,0.396902127,0.025570737
20,11.94565141,0.532833733,6.280959424,195.4322352,1.806341114,0.392500013,0.026249999,0.581250012,0,0.001735092,0.001724591,0.012041755,0.000562745,0.000386796,0.002729616,0.242290674,0.033290266
21,8.92522006,0.448937594,1.85080164,0,3.188356367,0.5775,0,0.4225,0,0.018513564,0,0.003920865,0.003541443,0,0.000912839,0.221410658,0
22,6.160011286,0.261545933,1.024410483,0,5.479724017,0.76625,0,0.23375,0,0.012804351,0,0.003928241,0.002474134,0,0.001153157,0.960311219,0
23,10.86480981,0.661470495,1.94402837,0,2.737917148,0.62,0,0.38,0,0.012369421,0,0.009253656,0.001771896,0,0.002973459,0.435190063,0
24,12.48329757,0.637927764,1.903199631,0,7.642240004,0.5375,0,0.4625,0,0.011756845,0,0.001752344,0.001620753,0,0.000372859,0.731568117,0
25,1.002203578,0.490684711,1.367017869,0,6.266688453,0.58375,0,0.41625,0,0.015499688,0,0.003227528,0.001249869,0,0.001434604,0.547814298,0
26,11.68276435,0.668543074,1.701723391,0,2.514167199,0.57,0,0.43,0,0.019150645,0,0.00459945,0.004711064,0,0.001102625,0.604981503,0
27,15.02505567,0.499455869,1.359943933,0,11.81029064,0.6725,0,0.3275,0,0.006317165,0,0.00195887,0.004025103,0,0.000365221,0.315093911,0
28,3.960603089,0.223531472,1.930232604,0,1.011075068,0.625,0,0.375,0,0.010035505,0,0.016482061,0.003064758,0,0.004950644,0.430670779,0
29,4.812450504,0.44102869,3.514410828,28.25717721,3.786577907,0.547500014,0.188749999,0.263749987,0,0.006899112,0.007150019,0.010883735,0.002084648,0.001135284,0.00107736,0.968830736,0.07514228
30,6.516810223,0.55763375,4.683897012,63.40090485,1.970210116,0.313749999,0.155000001,0.53125,0,0.00643968,0.008594699,0.00308001,0.001948619,0.001375528,0.000527979,0.371214625,0.092730706
31,7.95597253,0.360737412,9.015499966,23.03740172,2.031076342,0.45875001,0.076250002,0.465000004,0,0.002127141,0.008817477,0.024794724,0.000934792,0.000569799,0.004538755,0.120116601,0.092806037
