PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia
0.0,2.887624074051009,0.2420152467135228,6.153739166525862,0.0,6.548792856668994,0.86375,0.0,0.13625,1.0,0.025789157831566316,0.0,0.042626925385077015,0.007501960392078415,0.0,0.0018137027405481095,0.407995060095573,0.0
1.0,13.341337351689694,0.4467434077056526,2.5671012208634747,0.0,3.282284862919163,0.79375,0.0,0.20625,1.0,0.02806321264252851,0.0,0.009238047609521904,0.003392398479695939,0.0,0.000563252650530106,0.8246256386215761,0.0
2.0,4.132688368646963,0.5841437848283211,0.6822527315588635,0.0,8.32901782075612,0.56625,0.0,0.43375,1.0,0.017663332666533308,0.0,0.013522304460892177,0.008409821964392878,0.0,0.0017375475095019002,0.2756926268699247,0.0
3.0,18.300721631520652,0.6186082746779773,1.204920726852161,0.0,4.815351102071617,0.37125,0.0,0.62875,1.0,0.0489119823964793,0.0,0.011928985797159432,0.00543508701740348,0.0,0.004077675535107021,0.9279248659239744,0.0
4.0,4.316101173181799,0.4447868885893975,0.8724870861477664,0.0,5.603993369612415,0.15,0.0,0.85,1.0,0.04354050810162033,0.0,0.009403280656131226,0.005092778555711141,0.0,0.0034411682336467292,0.8620643482745328,0.0
5.0,17.43495666139692,0.577781427571461,1.3037329690336923,0.0,4.968151605425311,0.1975,0.0,0.8025,1.0,0.02674974994999,0.0,0.023719543908781754,0.009317683536707342,0.0,0.003999639927985597,0.10788803102237966,0.0
6.0,7.101017029467873,0.5827123227141092,1.3972570030628584,0.0,4.525571072959514,0.0425,0.0,0.9575,1.0,0.037688737747549515,0.0,0.027224844968993796,0.002611042208441688,0.0,0.0034580916183236648,0.4055264590544517,0.0
7.0,14.647749737892642,0.5646036398958165,1.8897958166537272,0.0,3.57249805579018,0.30625,0.0,0.69375,1.0,0.0347873574714943,0.0,0.0365251050210042,0.007055471094218843,0.0,0.0035192038407681537,0.9170310546929378,0.0
8.0,17.695086571216276,0.5579207734204934,8.148550269040001,0.0,3.4408023032005284,0.84,0.0,0.16,1.0,0.024642328465693142,0.0,0.04102180436087217,0.0019189837967593518,0.0,0.0023063612722544506,0.057445349546311225,0.0
9.0,1.23383431765064,0.46003845105123625,6.937695371015832,0.0,1.8177316954170173,0.5425,0.0,0.4575,1.0,0.019898179635927188,0.0,0.056848769753950784,0.005440668133626724,0.0,0.0035389477895579114,0.8103029120594953,0.0
10.0,1.9382200159745118,0.5681142915950173,7.671359959188358,0.0,0.4429247695584765,0.63875,0.0,0.36125,1.0,0.03779655931186238,0.0,0.056176035207041404,0.001139487897579516,0.0,0.003352790558111622,0.19808052166400306,0.0
11.0,3.664655186116386,0.6993820487846052,3.5097555618210015,0.0,1.956963583232593,0.43,0.0,0.57,1.0,0.04475595119023805,0.0,0.05434666933386677,0.008796779355871174,0.0,0.0010925785157031406,0.4939180859175188,0.0
12.0,15.762401746519263,0.2588290630134488,7.046397226270802,0.0,4.259623509594557,0.93625,0.0,0.06375,1.0,0.03517943588717744,0.0,0.039298659731946385,0.005708561712342468,0.0,0.002409781956391278,0.09314881378104041,0.0
13.0,1.0640963935998746,0.48749206996951283,3.7443394117181885,0.0,7.398748077781844,0.50375,0.0,0.49625,1.0,0.012478095619123827,0.0,0.02101680336067213,0.0027635927185437085,0.0,0.0007080416083216643,0.1726802363770736,0.0
14.0,14.178556349351343,0.5806422070103499,5.840230149764687,0.0,3.906450403993656,0.31375,0.0,0.68625,1.0,0.020809761952390482,0.0,0.01715743148629726,0.004307701540308061,0.0,0.0022057611522304462,0.8265900852306755,0.0
15.0,6.966796881540664,0.4977344296082075,1.0493176981046568,0.0,2.593182493206622,0.15375,0.0,0.84625,1.0,0.027857371474294863,0.0,0.053296259251850366,0.001883636727345469,0.0,0.004512042408481696,0.6402096523074741,0.0
16.0,12.258451887666332,0.5618157420679817,7.2245335406935505,0.0,4.844104645645937,0.1575,0.0,0.8425,1.0,0.04759851970394079,0.0,0.05361492298459691,0.0029235847169433887,0.0,0.004853330666133226,0.17756610647597856,0.0
17.0,17.079711859188773,0.6689909869082237,7.306423121369697,0.0,1.3196961441749957,0.25125,0.0,0.74875,1.0,0.023191638327665534,0.0,0.023212042408481695,0.008229365873174634,0.0,0.00041470294058811757,0.8970277483115737,0.0
18.0,17.69129683046773,0.6974909604609401,2.1780732436987713,0.0,4.950244261349981,0.73375,0.0,0.26625,1.0,0.027092818563712744,0.0,0.05664812962592518,0.007624744948989797,0.0,0.0014893378675735146,0.38174553806032285,0.0
19.0,13.485483145950555,0.6335020169061585,6.6480204191925445,0.0,3.467387568497779,0.86,0.0,0.14,1.0,0.009341468293658731,0.0,0.02480536107221444,0.004521644328865772,0.0,0.004931366273254651,0.14036757485134954,0.0
20.0,6.361127178428011,0.510038811441099,6.585310109988404,0.0,1.4737421251143636,0.90375,0.0,0.09625,1.0,0.04851990398079616,0.0,0.04045529105821164,0.004529085817163432,0.0,0.0021202040408081616,0.5394565363644269,0.0
21.0,2.2981331386824855,0.4758370055842101,6.186188449899435,0.0,4.3011287625606345,0.06625,0.0,0.93375,1.0,0.04229565913182637,0.0,0.0225629125825165,0.006043428685737147,0.0,0.0029945789157831567,0.15518225995309592,0.0
22.0,0.7814584578790427,0.25042438931691785,3.9762661847217657,0.0,3.3261053073748204,0.055,0.0,0.945,1.0,0.015536307261452293,0.0,0.024014602920584115,0.004609081816363272,0.0,0.0036000600120024004,0.9178332872657899,0.0
23.0,12.689026341991465,0.3853783114185144,1.661612399502153,0.0,1.5192151062180725,0.95375,0.0,0.04625,1.0,0.036179235847169436,0.0,0.019683136627325463,0.007442428485697139,0.0,0.0005190638127625525,0.5458591944715225,0.0
24.0,18.627737962610254,0.48818637424146194,1.795392718433405,0.0,4.273899222543461,0.66,0.0,0.34,1.0,0.03532646529305861,0.0,0.05707301460292058,0.006339227845569113,0.0,0.0018785757151430285,0.8967035156589059,0.0
25.0,8.375043874756361,0.6210497432447171,2.5800759752126803,0.0,6.0933947686071495,0.08625,0.0,0.91375,1.0,0.011350870174034806,0.0,0.0396999399879976,0.004225845169033806,0.0,0.00346749349869974,0.1218176757163034,0.0
26.0,14.36596020424251,0.49002951830866287,2.2656796764363754,0.0,3.202824488734793,0.5475,0.0,0.4525,1.0,0.018496499299859973,0.0,0.03192218443688737,0.006272254450890177,0.0,0.003875535107021404,0.7661112626328518,0.0
27.0,12.842667934913488,0.5670249463366708,1.985040937823071,0.0,6.079055880319162,0.76875,0.0,0.23125,1.0,0.03430706141228246,0.0,0.02685897179435887,0.00879119823964793,0.0,0.0032719343868773754,0.9864848698837453,0.0
28.0,9.050882224125246,0.5238438583905198,7.970962784830373,0.0,2.5212532627524165,0.325,0.0,0.675,1.0,0.02050590118023605,0.0,0.034117423484696936,0.005234166833366673,0.0,0.0007860772154430885,0.7507693931874193,0.0
29.0,6.615018234139835,0.25463933709443703,0.35570591342470953,0.0,4.664188726634735,0.6675,0.0,0.3325,1.0,0.020770554110822168,0.0,0.04510542108421684,0.0016901580316063213,0.0,0.0030256051210242048,0.1549936764428896,0.0
30.0,10.967799642301047,0.3596149534747143,3.796655317872688,0.0,1.1800774701274621,0.88875,0.0,0.11125,1.0,0.00866513302660532,0.0,0.05370934186837367,0.004947669533906781,0.0,0.00171874374874975,0.1861609424874706,0.0
31.0,3.5525801612746637,0.6530304374386229,1.97215059112382,0.0,0.9536834607860138,0.6675,0.0,0.3325,1.0,0.021476295259051814,0.0,0.05530266053210642,0.002045489097819564,0.0,0.001879515903180636,0.4235180308599959,0.0
32.0,11.833249984307164,0.5744500701792379,6.532255916441652,0.0,7.748035097382804,0.74125,0.0,0.25875,1.0,0.011243048609721945,0.0,0.023743148629725944,0.006568053610722144,0.0,0.0009412082416483296,0.9070739114723819,0.0
33.0,17.35562766993231,0.28283029814430877,5.649474329496714,0.0,6.937684430227125,0.795,0.0,0.205,1.0,0.03240548109621925,0.0,0.040974594918983795,0.0021124624924984993,0.0,0.004976495299059812,0.5358854442157935,0.0
34.0,0.45513095932867,0.39373290292177077,3.7369391631475812,0.0,4.451320814897292,0.48375,0.0,0.51625,1.0,0.04206041208241649,0.0,0.04300460092018403,0.00369005801160232,0.0,0.001769513902780556,0.17215289039045012,0.0
35.0,16.95122702549949,0.45386693591898786,1.7472658251023576,0.0,4.230943745869636,0.75875,0.0,0.24125,1.0,0.0227995599119824,0.0,0.005897979595919183,0.005409041808361672,0.0,0.0003752150430086017,0.7715619108451025,0.0
36.0,13.595539032266643,0.37231144037850783,6.605195900474227,0.0,1.6468805605739734,0.56,0.0,0.44,1.0,0.03168993798759752,0.0,0.04381896379275855,0.003758891778355671,0.0,0.004866493298659732,0.50109964863257,0.0
37.0,14.793182293609483,0.47656226405545227,5.103749100425172,0.0,7.131893424307211,0.79,0.0,0.21,1.0,0.048206241248249654,0.0,0.05442928585717143,0.0075391678335667124,0.0,0.0019086617323464691,0.5243000458168005,0.0
38.0,3.755390656414172,0.6204690379184743,3.227901975605799,0.0,7.07018848833949,0.4925,0.0,0.5075,1.0,0.004479695939187837,0.0,0.0513134626925385,0.0020138627725545108,0.0,0.002757651530306061,0.4833707690679649,0.0
39.0,11.833215682259715,0.5242697424545599,4.2141660313425975,0.0,6.445651110635455,0.61875,0.0,0.38125,1.0,0.027641728345669137,0.0,0.030163632726545306,0.006329925985197039,0.0,0.003312362472494499,0.4028216255094784,0.0
40.0,15.524958066398208,0.23387778383859092,2.4182150809781398,0.0,0.7864513983885942,0.81875,0.0,0.18125,1.0,0.02013342668533707,0.0,0.02760252050410082,0.0015934186837367472,0.0,0.004299559911982396,0.46696929473845805,0.0
41.0,8.446837543315088,0.33924462702355374,7.921893190200198,0.0,1.1790563384965866,0.1525,0.0,0.8475,1.0,0.02682816563312663,0.0,0.0238375675135027,0.003504020804160832,0.0,0.004318363672734546,0.3623981485348861,0.0
42.0,15.77842628070771,0.2849197126855162,4.418351361883252,0.0,6.317947071148556,0.04,0.0,0.96,1.0,0.049745149029805966,0.0,0.03554550910182036,0.008167973594718943,0.0,0.0049332466493298656,0.9078859334652281,0.0
